temperature,humidity,airflow,openness,Q
28.49,20.75731469,43,0.43,0
28.49,20.79086032,43,0.41,0
28.5,20.79043595,43,0.43,0
28.51,20.82359094,43,0.42,0
28.5,20.81367537,43,0.41,0
28.5,20.81625763,43,0.43,0
28.48,20.78611792,43,0.43,0
28.43,20.69037687,43,0.43,0
28.43,20.69551848,43,0.43,0
28.45,20.73583513,43,0.43,0
28.49,20.81666704,43,0.43,0
28.45,20.73583513,43,0.42,0
28.49,20.80892481,43,0.42,0
28.51,20.83134253,43,0.43,0
28.5,20.81883991,43,0.43,0
28.51,20.87010327,43,0.43,0
28.5,20.85757664,43,0.41,0
28.51,20.87010327,43,0.42,0
28.5,20.84208139,43,0.43,0
28.49,20.84505683,43,0.43,0
28.5,20.85241147,43,0.43,0
28.47,20.78652793,43,0.42,0
28.49,20.82440946,43,0.43,0
28.5,20.85499404,43,0.42,0
28.49,20.85538101,43,0.43,0
28.48,20.82480572,43,0.43,0
28.48,20.85833891,43,0.43,0
28.46,20.84876025,43,0.43,0
28.45,20.87744384,43,0.43,0
28.45,20.88259442,43,0.43,0
28.4,20.78402182,43,0.43,0
28.41,20.81449326,43,0.43,0
28.37,20.71840752,43,0.41,0
28.35,20.65770051,43,0.43,0
28.42,20.79615855,43,0.43,0
28.44,20.80829115,43,0.43,0
28.47,20.86128519,43,0.43,0
28.44,20.80314475,43,0.43,0
28.42,20.78073812,43,0.43,0
28.46,20.87710342,43,0.43,0
28.46,20.87452667,43,0.43,0
28.45,20.87229334,43,0.43,0
28.42,20.81157973,43,0.43,0
28.41,20.78880641,43,0.43,0
28.39,20.73818896,43,0.42,0
28.39,20.75358048,43,0.43,0
28.43,20.81636991,43,0.43,0
28.43,20.81636991,43,0.43,0
28.43,20.85494908,43,0.43,0
28.46,20.92348854,43,0.43,0
28.42,20.87327184,43,0.43,0
28.41,20.90698291,43,0.43,0
28.38,20.9206257,43,0.43,0
28.32,20.84019583,43,0.43,0
28.32,20.88108775,43,0.43,0
28.31,20.91707215,43,0.42,0
28.31,20.90685348,43,0.43,0
28.27,20.85662137,43,0.43,0
28.28,20.88191873,43,0.43,0
28.28,20.88701872,43,0.43,0
28.25,20.86972555,43,0.43,0
28.25,20.92827574,43,0.43,0
28.24,20.96148931,43,0.43,0
28.23,20.94379429,43,0.43,0
28.24,20.98693705,43,0.43,0
28.23,21.00992046,43,0.42,0
28.21,20.98718799,43,0.43,0
28.21,21.05070517,43,0.41,0
28.17,21.03302992,43,0.43,0
28.16,21.01783664,43,0.43,0
28.14,20.9976009,43,0.43,0
28.14,20.97989011,43,0.43,0
28.15,21.01784399,43,0.43,0
28.16,21.04317056,43,0.43,0
28.16,21.05583826,43,0.43,0
28.14,21.0001311,43,0.43,0
28.14,21.01278236,43,0.43,0
28.16,21.03810361,43,0.43,0
28.14,20.99507073,43,0.42,0
28.14,20.94700122,43,0.43,0
28.16,20.94184686,43,0.43,0
28.2,20.96948263,43,0.43,0
28.21,20.94146338,43,0.43,0
28.2,20.88825072,43,0.43,0
28.18,20.78454711,43,0.43,0
28.21,20.79163388,43,0.43,0
28.23,20.78108011,43,0.43,0
28.26,20.80842854,43,0.43,0
28.26,20.80078936,43,0.43,0
28.28,20.82327471,43,0.43,0
28.28,20.81052742,43,0.43,0
28.3,20.86109737,43,0.43,0
